region,p5_01,p5_02,p5_03,p5_07,P5
Волинська,0.018369899639152462,0.5511267333875864,0.5062232408291841,0.17647058823529413,2.5043809241824344
Вінницька,0.0035461766715683962,0.9571440948867497,0.12075572081706974,0.0,2.1628919847507757
Дніпропетровська,0.040898456352722976,0.21779993745874013,0.19753135211964523,0.25882352941176473,1.4301065506857462
Донецька,0.0017816081038687023,0.142499546126514,0.17748713186228338,0.2,1.043536572185332
Житомирська,0.1879483064923596,1.3279810456363703,0.2661809205801676,0.011764705882352941,3.587749957182501
Закарпатська,0.054536820282462976,0.5483910936220082,0.206273630491126,0.011764705882352941,1.6419325005559002
Запорізька,0.005455547621731994,0.2692833253081037,0.06896631850831111,0.07058823529411765,0.8285868534645289
Київська,0.024414220482977228,0.6213545284434536,0.1262324120694147,0.5058823529411764,2.555767027874044
Івано-Франківська,0.012700717990827205,0.11751059804747373,0.5505259644571807,0.0,1.3614745609909633
Кіровоградська,0.0024416375681227858,0.2653675599168741,0.3826954779143669,0.0,1.3010093507987275
Луганська,0.005483834598771456,0.3331023860651077,0.230959579085586,0.7882352941176471,2.715562187734225
Львівська,0.024431394719036905,0.21345746316584416,0.43019719837087966,0.047058823529411764,1.430289759570345
Миколаївська,0.004471901670157414,0.36074129145587286,0.2256738407709174,0.1411764705882353,1.4641270089703657
Одеська,0.016272622341512444,0.14025628058378978,0.14125753477922556,0.6470588235294118,1.889690522467879
Полтавська,0.006401814353647289,0.27319115364059754,0.3476017489781698,0.011764705882352941,1.277918845709535
Рівненська,0.012847204121924414,0.9510392724603777,0.5626954683318542,1.0,5.053163889828313
Сумська,0.0015859565126790987,0.8995112722686426,0.5486652936059215,0.24705882352941178,3.39364269183331
Тернопільська,0.006011184670721402,0.24312448531861527,0.6834663210730326,0.07058823529411765,2.006380452712974
Харківська,1.0,0.016316689736794315,0.19467716311730235,0.047058823529411764,2.516105352767017
Херсонська,0.03280524914697927,0.2620137639455644,0.0,0.0,0.5896380261850873
Хмельницька,0.0024753125407888108,0.9858878364621927,0.23510453160461092,0.03529411764705882,2.517523596509302
Черкаська,0.0020779478633297195,0.6418570307384377,0.18851988603213396,0.11764705882352942,1.9002038469148617
Чернівецька,0.005772092364792627,0.27974559202271676,1.0,0.0,2.5710353687750187
Чернігівська,0.0,0.9965019629350202,0.6537217139105177,0.047058823529411764,3.3945650007498998
