region,p3_01,p3_02,P3
Волинська,0.011340722374527322,0.0010594088747781672,0.062000656246527446
Вінницька,0.2926117148841557,0.07542539612489464,1.8401855550452517
Дніпропетровська,0.5798267554634126,0.3137322029799015,4.467794792216571
Донецька,0.010629498694916547,0.003849061313890269,0.07239280004403408
Житомирська,0.06398356690061147,0.06578276895638129,0.6488316792849638
Закарпатська,0.13618441213713176,0.02602300217978848,0.8110370715846011
Запорізька,0.022530680434962327,0.0040565872846764625,0.13293633859819395
Київська,0.0775771269002527,0.07278119315255747,0.751791600264051
Івано-Франківська,0.2831023659082498,0.22417387921631973,2.5363812256228475
Кіровоградська,0.03600339189505708,0.00819366308816013,0.22098527491608605
Луганська,0.0,0.0,0.0
Львівська,0.746369970303815,1.0,8.731849851519076
Миколаївська,0.0,0.0,0.0
Одеська,0.5057792485181416,0.39648571994308174,4.5113248423061165
Полтавська,0.23051910237156145,0.13202022424040877,1.812696633059851
Рівненська,1.0,0.2965083772695204,6.482541886347601
Сумська,0.05971296107447409,0.0361530979641362,0.4793302951930514
Тернопільська,0.013039314163533404,0.03825762222444542,0.2564846819398941
Харківська,0.6571578815597788,0.264796631941055,4.609772567504169
Херсонська,0.27116720513596326,0.11794124165057598,1.945542233932696
Хмельницька,0.5156730935242919,0.020199350139786736,2.679362218320393
Черкаська,0.2749357643678513,0.10715717104468363,1.9104646770626745
Чернівецька,0.026258540939508686,0.0,0.13129270469754342
Чернігівська,0.04928109254639545,0.037274288412327695,0.43277690479361575
