region,p1_01,p1_02,p1_03,p1_04,P1,p2_01,p2_02,p2_03,p2_04,p2_05,p2_06,p2_07,p2_08,p2_09,p2_10,P2,p3_01,p3_02,P3,p4_02,p4_03,p4_05,p4_06,p4_07,p4_08,P4,p5_01,p5_02,p5_03,p5_07,P5,p6_01,p6_02,p6_03,p6_04,p6_09,p6_05,p6_06,p6_07,p6_08,P6,p7_01,p7_02,p7_06,p7_03,p7_07,P7,p8_03,p8_04,p8_05,P8,I
Луганська,0.033150139630885325,0.0,0.22296019079130186,0.8614223645129643,2.7938317373378787,0.0,0.013674066084474995,0.19621860953504688,0.049712676669101764,0.001341437840769219,0.5903731428130091,1.0,0.9911619123021908,0.9993542515323268,1.0,4.230952249558491,0.0,0.0,0.0,1.0,0.7069306930693069,0.6535707347397858,0.3381710521484104,0.9291907068587828,0.427456482669495,6.758866115809635,0.005483834598771456,0.3331023860651077,0.23095957908558604,0.7882352941176471,2.7155621877342253,0.22563723617073886,1.0,0.0,0.0,0.2496096196441182,0.4934662662522897,0.4965277777777778,0.7375955662150879,0.5,4.11426274006668,0.09608094314965683,0.937723775530488,0.006942007537036754,0.5113605885877307,0.0,3.1042146296098245,0.9583333333333331,0.5908707415238043,1.0,8.497346916190459,39.105409845175004
Львівська,0.953717841279976,0.04086290891709856,0.2729114707416068,0.7737374995826295,5.103074301303278,0.501859198939669,0.5160779502387175,0.10271203596155963,0.6077631436422419,0.19434627176403926,0.4272922231180173,0.008724744894495373,0.9214497151961848,0.9962547935587094,0.976529587825222,4.805338434262904,0.746369970303815,1.0,8.731849851519076,0.8309859154929577,0.5470177324019344,0.3412051384854927,0.9999999999999998,0.6563388972879577,0.8664781068406873,7.070042984181716,0.0244313947190369,0.21345746316584416,0.4301971983708797,0.047058823529411764,1.430289759570345,0.8419107202745171,0.08586772117927212,0.3177083333333321,0.0,0.060628261246834285,0.59132420804492,0.6026119402985075,0.2865517357525207,0.15077989601386482,3.263758684604188,0.011962065478698549,0.04555053957409174,0.0006546193300811378,0.2801986918086149,0.07608346709470305,0.8288987665723788,0.7083333333333333,0.9373825356236564,1.0,8.819052896523301,44.449025724686365
Миколаївська,0.5948171281636462,0.0,0.07215628422338828,0.7573871788543013,3.5609014781033395,0.5710780477615556,0.16604480916930847,0.2438426890300445,0.031003646704582468,0.12086562657723315,0.3367595446563679,0.99368816792732,0.942404816446854,1.0,0.8830947823720926,4.3617260351000615,0.0,0.0,0.0,0.9615384615384616,0.7548022598870057,0.13317673553379955,0.16152177536405626,0.7195396624602759,0.9990063438282644,6.215975397686441,0.004471901670157414,0.3607412914558729,0.2256738407709174,0.1411764705882353,1.4641270089703655,0.7386337509290302,0.015436121812885931,0.0,0.0,0.9156953292995684,0.5560913230048544,0.5958762886597938,0.5667240276616702,0.4957983193277311,4.315839067439482,0.0,0.3548001771060345,0.002009507842822038,0.3663156649897584,0.4365971107544141,2.319444921386058,0.9583333333333331,0.4319106159728999,1.0,7.9674798310207775,38.46022040483902
Одеська,0.3909113264980932,0.8518982790813805,0.16765102234560528,0.5655514033506129,4.94003007818923,0.5305114249107388,0.5221489373389134,0.07563757039499297,0.7499127180464159,0.4320063722315653,0.7006536004860163,0.9088212339078272,0.5184334678460814,0.999712140281616,0.932892588735328,6.1617631683694505,0.5057792485181416,0.39648571994308174,4.5113248423061165,0.9423076923076924,0.6699288256227758,0.41038196426717816,0.2196886268234738,0.4068105868697195,0.9405597803333224,5.982795793706937,0.016272622341512444,0.14025628058378978,0.14125753477922556,0.6470588235294118,1.889690522467879,0.6937243602100899,0.017242630649285273,0.0,0.0,0.8342179013496159,0.6529610037800082,0.7249322493224932,0.12502192446594415,0.34306569343065696,3.767961959120105,0.050431840855221566,0.7351647142752891,0.0033865381912052237,0.0,1.0,3.577966186643432,0.5416666666666665,0.6465374468199698,1.0,7.294013711622123,47.09263219113994
Полтавська,0.03578837491469733,0.0,0.11411647495817938,0.6129721603390099,1.9071925255297169,0.7763094857643941,0.3770999643577966,0.19411255479898396,0.24564404811018706,0.27907331568752103,0.8591617112607638,0.9968247053810928,0.9088283415278616,0.9922055668534416,0.5276726151940778,6.161100664968588,0.23051910237156145,0.13202022424040874,1.8126966330598508,0.9545454545454546,0.5524266027561414,0.11346473587585673,0.6705124656967921,0.5885235371829428,0.1230808256030148,5.0042560361003385,0.006401814353647289,0.27319115364059754,0.3476017489781698,0.011764705882352941,1.277918845709535,0.8235792689188545,0.005588482157138898,0.0,0.0,0.7425297420326391,0.5352345309836528,0.5092436974789916,0.6831627708251002,0.4583333333333333,4.175190917477456,0.10932047303754304,0.6439579942710074,0.004645455342273644,0.5803844168484656,0.09406099518459067,2.8647386693677612,0.6666666666666665,0.98904241648693,1.0,8.852363610511992,38.96641188891508
Рівненська,0.08935892506970262,0.0,0.15045380433538866,0.8121416035384629,2.6298858323588847,0.4826166503136911,0.13413674119157934,0.34834094696520146,0.05690247353731731,0.06470885343193944,0.4547668519650973,0.9939248358492262,0.9978402119616432,0.9980444056441714,0.9996751297135512,4.71705065983284,1.0,0.2965083772695204,6.482541886347601,0.9629629629629628,0.7807807807807807,0.643112266803881,0.3801429400556409,0.6604688082889926,0.0,5.712446264820431,0.012847204121924414,0.9510392724603776,0.5626954683318542,1.0,5.053163889828314,0.8221784122418924,0.025162416684120958,0.25,0.0,0.12603994692565035,0.660682121123945,0.7015706806282722,0.2618251945978163,0.1912568306010929,3.3763506697808774,0.050903999429216924,0.0,0.00019986393878013812,0.26341817204464524,0.11171749598715892,0.8524790627996024,0.9166666666666664,0.17102038306487444,1.0,6.95895683243847,39.78541290078659
Сумська,0.02270378184607845,0.0,0.08768972072662634,0.766433059827712,2.192066406001042,1.0,0.3115430410649598,0.9999999999999998,0.06872375313924617,0.2775139795283723,0.3862056013647349,0.9652798104044168,0.9841572914808612,0.954735321826744,0.9340489862170556,6.022183158350089,0.05971296107447409,0.0361530979641362,0.4793302951930514,0.9714285714285714,0.5003441156228493,0.059658406601972386,0.1294587172341591,0.14675432863702287,0.2860398247033583,3.4894732737132217,0.0015859565126790987,0.8995112722686426,0.5486652936059215,0.24705882352941175,3.39364269183331,0.8284404888416578,0.003729745938840241,0.0,1.0,0.9488519476279502,0.5244126992293386,0.4486607142857143,1.0,0.4860681114551084,5.822404119309567,0.06153041183244285,1.0,0.003961668183521602,0.5715035845910997,0.10240770465489568,3.4788067385239203,0.0,0.5988465684781507,1.0,5.329488561593836,41.33963949978529
Тернопільська,0.06466541642870671,0.0,0.2495003560097427,0.6090198387084779,2.3079640278673184,0.540218764358822,0.14619638224414938,0.7742934689488488,0.03721914040559357,0.05445042804573133,1.0,0.9698864131472554,1.0,0.9824568018936792,1.0,6.5225926934037295,0.013039314163533405,0.03825762222444542,0.2564846819398941,0.9428571428571428,0.7371031746031746,0.02522369771678075,0.1289996533452519,0.6465846331632638,0.4440405518140266,4.8746814224994015,0.006011184670721402,0.2431244853186153,0.6834663210730326,0.07058823529411765,2.0063804527129743,0.8117826413551503,0.03578711542748387,1.0,0.2404371584699465,1.0,0.5429613321959694,0.4612903225806452,0.8982031681146361,0.2013888888888889,5.768722918925247,0.014975230224240629,0.18526454574039586,0.002037738670920784,0.6529224951619979,0.0,1.7104000195951103,0.9166666666666664,0.5178969842631239,0.8097014925373134,7.480883811557013,41.65870542194853
Харківська,0.009192337315476988,0.0,0.18822752979379487,0.8078461664023003,2.5131650837789303,0.5709361940054972,0.6708990532439472,0.13591332748460072,0.6586022588964063,0.46217925286369005,0.4910495408847491,0.0,0.9119293956020532,0.9917800899889879,0.9940831386457248,5.537274328853994,0.6571578815597788,0.26479663194105496,4.6097725675041685,1.0,0.5029904306220095,0.5114694200395016,0.6285380203669467,0.4483354416710373,0.801661950016963,6.488325437860763,1.0,0.016316689736794315,0.19467716311730235,0.047058823529411764,2.516105352767017,0.7959276252248823,0.08037745962072276,0.0,0.0,0.9361395645604098,0.5084086395349035,0.6711590296495957,0.1836701444749652,0.4184514003294893,3.9934820704388536,0.04596805008508202,0.7317895843315269,0.003531387065572474,1.0,0.5149277688603531,4.592433580685069,0.7499999999999999,0.9852742180692986,1.0,9.117580726897662,44.54838398465731
Херсонська,0.6426887080357891,0.0,0.1824231784559182,0.7615067173222585,3.9665465095349135,0.4068138948370879,0.09917795343367973,0.2825510115341401,0.09048104490191107,0.07303012283724275,0.7345397153693038,0.9930565808205484,0.9314113707879368,0.9893869825290192,0.9998064852084332,5.2344417030585335,0.2711672051359633,0.11794124165057597,1.945542233932696,0.8,0.5272727272727272,0.3445804188231996,0.3532829382617117,0.7877263891888561,0.6429201039387062,5.759637629142,0.03280524914697927,0.2620137639455644,0.0,0.0,0.5896380261850873,0.7746423990360322,0.006162855297876073,0.0,0.0,0.5696158985828856,0.6122031072153458,0.7071960297766751,0.08357256206400701,0.4230769230769231,3.5294108611663826,0.0316976281896539,0.2743502812428219,0.002827491179023998,0.8080083950391105,0.2465489566613162,2.726865504623853,1.0,0.3066654255816577,1.0,7.6888847519388595,39.354152800406375
Хмельницька,0.0,0.0,0.2264053563964955,0.8490597383710187,2.688662736918785,0.5264746296241901,0.1809087237057151,0.25226511137859275,0.0,0.1392803712181281,0.7498333343533324,0.9796199615040804,0.9912928921333028,0.8829798059673992,0.9943951079460692,5.378692026529238,0.5156730935242919,0.02019935013978674,2.679362218320393,0.6944444444444444,0.271830985915493,0.13416465754826948,0.2349626712444403,0.7695226929128999,0.606660636012478,4.519310146796709,0.0024753125407888108,0.9858878364621928,0.2351045316046109,0.035294117647058816,2.5175235965093017,0.8344905774101811,0.028092139556310892,0.0,0.0,0.9373769284237049,0.5115186676528745,0.4924874791318865,0.5112355547190149,0.37789203084832906,4.103437086380335,0.06469398947820783,0.5693992707507534,0.004864894799844937,0.31504367681846623,0.22279293739967895,2.3535895384939027,0.8333333333333333,0.7002262066266867,0.9928626100267892,8.421407166622696,39.282391673928174
Черкаська,0.020674573880751092,0.0,0.07232408452919831,0.7717425255683535,2.1618529599457568,0.4868571308213976,0.17626864724614974,0.1937752601051419,0.07810562446018908,0.15931877531845187,0.769215515408504,0.9504294139211956,0.8315752334943263,0.9980656163602628,1.0,5.3799081413324545,0.2749357643678513,0.10715717104468364,1.9104646770626743,1.0,0.8525402726146221,0.3899306493810861,0.7365506387475962,0.0,0.5578171653953455,5.8947312102310825,0.0020779478633297195,0.6418570307384377,0.188519886032134,0.11764705882352942,1.9002038469148617,0.8024395706342263,0.0,0.0,0.0,0.5514715473324805,0.5277684393347841,0.5376146788990825,0.5708496877282921,0.44110275689223055,3.81249631202344,0.11039021423329412,0.8218049359584813,0.002763445344154753,0.6625125570994318,0.1245585874799358,3.4440594802305955,0.9166666666666664,0.837753742678297,1.0,9.181401364483213,39.49344238475278
Чернівецька,0.3060662267319664,0.987638328523456,0.2400443089280632,0.7276465799137535,5.653488610243097,0.19052303997871653,0.0,0.0,0.010192480557283196,0.0,0.3531420660922804,0.9995744446081049,0.9534292726465132,0.9889283428782958,0.9984460175828712,3.5463069843390667,0.026258540939508686,0.0,0.13129270469754342,0.9,0.8790931989924433,0.0,0.1675881511460345,1.0,0.8701220801882388,6.361339050544528,0.005772092364792627,0.2797455920227168,1.0,0.0,2.5710353687750187,0.7896732334447327,0.14809140942175533,0.0,0.0,0.3712149970771841,0.7156585247423005,0.8015873015873016,0.0,0.16602316602316602,3.3247207025516,0.07929659996234502,0.7660173711397572,0.005090608479996519,0.5361680718659357,0.2346709470304976,3.2424871969570637,0.7499999999999999,0.0,0.962724837351703,5.709082791172342,40.14408195847908
Чернігівська,0.0,0.0,0.1174772233587332,0.7588019881750795,2.190698028834532,0.5588468635356321,0.14848790652192903,0.29568657102093393,0.07858056117476239,0.17475554731724072,0.6154483048536555,0.993415063114024,0.8964731904262855,0.9939602485929592,0.995502247117216,5.21957242998619,0.04928109254639545,0.037274288412327695,0.43277690479361575,0.9230769230769232,0.5336963921034718,0.012889572999990677,0.0,0.7057711887939283,0.3448760706991444,4.200516912789097,0.0,0.9965019629350202,0.6537217139105177,0.047058823529411764,3.3945650007499,0.8208930716251349,0.3816443197427872,0.0,0.0,0.7894126885325927,0.5575478955418983,0.42203742203742206,0.7776570744226127,0.4653179190751445,4.682789323308437,0.14344626618743014,0.0885317819316774,0.0005618808221203609,0.7506110893344234,0.0,1.9663020365513024,1.0,0.8663198492547688,0.8612292766934558,9.091830419827415,38.50980717665914
