region,p1_01,p1_02,p1_03,p1_04,P1,p2_01,p2_02,p2_03,p2_04,p2_05,p2_06,p2_07,p2_08,p2_09,p2_10,P2,p3_01,p3_02,P3,p4_02,p4_03,p4_05,p4_06,p4_07,p4_08,P4,p5_01,p5_02,p5_03,p5_07,P5,p6_01,p6_02,p6_03,p6_04,p6_09,p6_05,p6_06,p6_07,p6_08,P6,p7_01,p7_02,p7_06,p7_03,p7_07,P7,p8_03,p8_04,p8_05,P8,I
Луганська,0.033150139630885325,0.0,0.22296019079130186,0.8614223645129643,2.7938317373378787,0.0,0.013674066084474995,0.19621860953504688,0.049712676669101764,0.001341437840769219,0.5903731428130091,1.0,0.9911619123021908,0.9993542515323268,1.0,4.230952249558491,0.0,0.0,0.0,1.0,0.7069306930693069,0.6535707347397858,0.22828221137335644,0.5295000000000001,0.5446098289867918,6.1048224469487335,0.005483834598771456,0.3331023860651077,0.23095957908558604,0.67,2.4790915994989304,0.22563723617073886,0.030882735290423038,1.0,1.0,0.7951175224452739,0.4934662662522897,0.4965277777777778,0.7375955662150879,0.5,5.865807893501768,0.09608094314965683,0.9407676955271808,0.006942007537036754,0.9581856839121192,0.0,4.003952660251987,0.9583333333333331,0.4651840753890693,1.0,8.07839136240801,42.40824614869993
Львівська,0.953717841279976,0.04086290891709856,0.2729114707416068,0.7737374995826295,5.103074301303278,0.501859198939669,0.5160779502387175,0.10271203596155963,0.6077631436422419,0.19434627176403926,0.4272922231180173,0.008724744894495373,0.9214497151961848,0.9962547935587094,0.976529587825222,4.805338434262904,0.746369970303815,1.0,8.731849851519076,0.85,0.5459430413756046,0.3412051384854927,0.6319770035765523,0.43123999999999996,0.8408211767499726,6.068643933646038,0.0244313947190369,0.21345746316584416,0.4301971983708797,0.04,1.4161721125115214,0.8419107202745171,0.27015578318395217,0.979591836734694,1.0,0.7439436236839079,0.59132420804492,0.6026119402985075,0.2865517357525207,0.15077989601386482,6.074299715540983,0.011962065478698549,0.0922018551149932,0.0006546193300811378,0.9307107733571748,0.07608346709470305,2.2232255607513016,0.7083333333333333,0.7379878499236615,1.0,8.154403944189982,50.116593406977714
Миколаївська,0.5948171281636462,0.0,0.07215628422338828,0.7573871788543013,3.5609014781033395,0.5710780477615556,0.16604480916930847,0.2438426890300445,0.031003646704582468,0.12086562657723315,0.3367595446563679,0.99368816792732,0.942404816446854,1.0,0.8830947823720926,4.3617260351000615,0.0,0.0,0.0,1.0,0.7548022598870057,0.13317673553379955,0.1205317218914488,0.4540000000000001,0.9302390220984302,5.654582899017807,0.004471901670157414,0.3607412914558729,0.2256738407709174,0.12,1.4217740677938953,0.7386337509290302,0.6702753201077101,1.0,1.0,0.9754855913457168,0.5560913230048544,0.5958762886597938,0.5667240276616702,0.4957983193277311,7.3320940233738945,0.0,0.38633607478607374,0.002009507842822038,0.8632688927943761,0.4365971107544141,3.376423172355372,0.9583333333333331,0.34003704435241955,1.0,7.661234592285843,44.79284050846458
Одеська,0.3909113264980932,0.8518982790813805,0.16765102234560528,0.5655514033506129,4.94003007818923,0.5305114249107388,0.5221489373389134,0.07563757039499297,0.7499127180464159,0.4320063722315653,0.7006536004860163,0.9088212339078272,0.5184334678460814,0.999712140281616,0.932892588735328,6.1617631683694505,0.5057792485181416,0.39648571994308174,4.5113248423061165,0.3636363636363637,0.00979519145146928,0.41038196426717816,0.15601166741098105,0.34137931034482755,0.8908046653565578,3.6200152707789615,0.016272622341512444,0.14025628058378978,0.14125753477922556,0.55,1.6955728754090558,0.6937243602100899,0.6457446808510638,1.0,1.0,0.953422475255282,0.6529610037800082,0.7249322493224932,0.12502192446594415,0.34306569343065696,6.820969319239488,0.050431840855221566,0.7481092597886733,0.0033865381912052237,0.8738408037094282,1.0,5.351536885089057,0.5416666666666665,0.5090096754964142,1.0,6.835587807210269,52.186106487631605
Полтавська,0.03578837491469733,0.0,0.11411647495817938,0.6129721603390099,1.9071925255297169,0.7763094857643941,0.3770999643577966,0.19411255479898396,0.24564404811018706,0.27907331568752103,0.8591617112607638,0.9968247053810928,0.9088283415278616,0.9922055668534416,0.5276726151940778,6.161100664968588,0.23051910237156145,0.13202022424040874,1.8126966330598508,0.9,0.5517035265989241,0.11346473587585673,0.4309999956565181,0.4068181818181818,0.3392451757623098,4.570386026186316,0.006401814353647289,0.27319115364059754,0.3476017489781698,0.01,1.2743894339448292,0.8235792689188545,0.8453262601327101,1.0,1.0,0.9285944148460684,0.5352345309836528,0.5092436974789916,0.6831627708251002,0.4583333333333333,7.537193640576345,0.10932047303754304,0.6613605165037371,0.004645455342273644,0.9544131910766246,0.09406099518459067,3.6476012622895375,0.6666666666666665,0.7786589345201279,1.0,8.151085337289315,45.685241369744574
Рівненська,0.08935892506970262,0.0,0.15045380433538866,0.8121416035384629,2.6298858323588847,0.4826166503136911,0.13413674119157934,0.34834094696520146,0.05690247353731731,0.06470885343193944,0.4547668519650973,0.9939248358492262,0.9978402119616432,0.9980444056441714,0.9996751297135512,4.71705065983284,1.0,0.2965083772695204,6.482541886347601,1.0,0.7807807807807807,0.643112266803881,0.2538837397170287,0.4327272727272727,0.2562015732871442,5.611176055526847,0.012847204121924414,0.9510392724603776,0.5626954683318542,0.85,4.753163889828314,0.8221784122418924,0.5564624808575804,0.9838709677419356,1.0,0.7616563283079325,0.660682121123945,0.7015706806282722,0.2618251945978163,0.1912568306010929,6.599447795667187,0.050903999429216924,0.04887772215836764,0.00019986393878013812,0.9789473684210528,0.11171749598715892,2.3812928998691527,0.9166666666666664,0.13464189911240187,1.0,6.837695219263562,47.298519973747716
Сумська,0.02270378184607845,0.0,0.08768972072662634,0.766433059827712,2.192066406001042,1.0,0.3115430410649598,0.9999999999999998,0.06872375313924617,0.2775139795283723,0.3862056013647349,0.9652798104044168,0.9841572914808612,0.954735321826744,0.9340489862170556,6.022183158350089,0.05971296107447409,0.0361530979641362,0.4793302951930514,1.0,0.5003441156228493,0.059658406601972386,0.1009742673087122,0.2477272727272728,0.4491948959948357,3.9298315970927367,0.0015859565126790987,0.8995112722686426,0.5486652936059215,0.21,3.3195250447744864,0.8284404888416578,0.8891566265060241,1.0,0.9361702127659576,0.9844640082858622,0.5244126992293386,0.4486607142857143,1.0,0.4860681114551084,7.885969845966293,0.06153041183244285,1.0,0.003961668183521602,0.9298928919182085,0.10240770465489568,4.195585353178136,0.0,0.4714633297614427,1.0,4.904877765871476,46.337484846212476
Тернопільська,0.06466541642870671,0.0,0.2495003560097427,0.6090198387084779,2.3079640278673184,0.540218764358822,0.14619638224414938,0.7742934689488488,0.03721914040559357,0.05445042804573133,1.0,0.9698864131472554,1.0,0.9824568018936792,1.0,6.5225926934037295,0.013039314163533405,0.03825762222444542,0.2564846819398941,0.9444444444444444,0.7365805168986084,0.02522369771678075,0.10069425280973636,0.4277272727272727,0.5557992310623122,4.650782359431925,0.006011184670721402,0.2431244853186153,0.6834663210730326,0.06,1.9852039821247387,0.8117826413551503,0.4693967415235578,0.9384615384615383,0.9838709677419356,0.9983142910657428,0.5429613321959694,0.4612903225806452,0.8982031681146361,0.2013888888888889,7.00629987992007,0.014975230224240629,0.2250869589062682,0.002037738670920784,0.9322916666666666,0.0,2.3487831889361925,0.9166666666666664,0.4077328810526708,0.8097014925373134,7.113670134188834,44.34356014093946
Харківська,0.009192337315476988,0.0,0.18822752979379487,0.8078461664023003,2.5131650837789303,0.5709361940054972,0.6708990532439472,0.13591332748460072,0.6586022588964063,0.46217925286369005,0.4910495408847491,0.0,0.9119293956020532,0.9917800899889879,0.9940831386457248,5.537274328853994,0.6571578815597788,0.26479663194105496,4.6097725675041685,1.0,0.5009030704394943,0.5114694200395016,0.40539690736568057,0.3563333333333333,0.7970892052193437,5.951986560662255,1.0,0.016316689736794315,0.19467716311730235,0.04,2.5019877057081934,0.7959276252248823,0.28334049563099845,1.0,1.0,0.9810216465120284,0.5084086395349035,0.6711590296495957,0.1836701444749652,0.4184514003294893,6.491087757063182,0.04596805008508202,0.7448990985085507,0.003531387065572474,1.0,0.5149277688603531,4.618652609039117,0.7499999999999999,0.7756922858546891,1.0,8.418974286182298,48.67005464164501
Херсонська,0.6426887080357891,0.0,0.1824231784559182,0.7615067173222585,3.9665465095349135,0.4068138948370879,0.09917795343367973,0.2825510115341401,0.09048104490191107,0.07303012283724275,0.7345397153693038,0.9930565808205484,0.9314113707879368,0.9893869825290192,0.9998064852084332,5.2344417030585335,0.2711672051359633,0.11794124165057597,1.945542233932696,1.0,0.5272727272727272,0.3445804188231996,0.237499985458505,0.4785555555555557,0.6899848313470435,5.463155864095051,0.03280524914697927,0.2620137639455644,0.09795106676710692,0.02,0.8255401597193012,0.7746423990360322,0.8326429675425038,1.0,1.0,0.8817714075707459,0.6122031072153458,0.7071960297766751,0.08357256206400701,0.4230769230769231,7.016783773646925,0.0316976281896539,0.3098183865805329,0.002827491179023998,0.9693877551020408,0.2465489566613162,3.1205604354251357,1.0,0.2414332990750257,1.0,7.471444330250088,46.55329371381163
Хмельницька,0.0,0.0,0.2264053563964955,0.8490597383710187,2.688662736918785,0.5264746296241901,0.1809087237057151,0.25226511137859275,0.0,0.1392803712181281,0.7498333343533324,0.9796199615040804,0.9912928921333028,0.8829798059673992,0.9943951079460692,5.378692026529238,0.5156730935242919,0.02019935013978674,2.679362218320393,0.9230769230769232,0.2690677966101695,0.13416465754826948,0.16532835295131668,0.47200000000000003,0.6655202827410829,4.381930021546268,0.0024753125407888108,0.9858878364621928,0.2351045316046109,0.03,2.5069353612151843,0.8344905774101811,0.5293861558554636,1.0,1.0,0.9813567098939844,0.5115186676528745,0.4924874791318865,0.5112355547190149,0.37789203084832906,6.931519083901926,0.06469398947820783,0.5904460535561886,0.004864894799844937,0.893687707641196,0.22279293739967895,3.5529711657502325,0.8333333333333333,0.5512780674378811,0.9928626100267892,7.92491336932668,45.74172203703512
Черкаська,0.020674573880751092,0.0,0.07232408452919831,0.7717425255683535,2.1618529599457568,0.4868571308213976,0.17626864724614974,0.1937752601051419,0.07810562446018908,0.15931877531845187,0.769215515408504,0.9504294139211956,0.8315752334943263,0.9980656163602628,1.0,5.3799081413324545,0.2749357643678513,0.10715717104468364,1.9104646770626743,1.0,0.8525402726146221,0.3899306493810861,0.4712811991816337,0.1948777777777778,0.6325652084022151,5.901991845595558,0.0020779478633297195,0.6418570307384377,0.188519886032134,0.1,1.8649097292678027,0.8024395706342263,0.9924097639801738,1.0,1.0,0.8768581335745514,0.5277684393347841,0.5376146788990825,0.5708496877282921,0.44110275689223055,7.498936701159267,0.11039021423329412,0.8305147047886952,0.002763445344154753,0.9385039008719596,0.1245585874799358,4.013461705436079,0.9166666666666664,0.6595515276090815,1.0,8.587393980919162,47.110688214165314
Чернівецька,0.3060662267319664,0.987638328523456,0.2400443089280632,0.7276465799137535,5.653488610243097,0.19052303997871653,0.0,0.0,0.010192480557283196,0.0,0.3531420660922804,0.9995744446081049,0.9534292726465132,0.9889283428782958,0.9984460175828712,3.5463069843390667,0.026258540939508686,0.0,0.13129270469754342,1.0,0.8790931989924433,0.0,0.12423201985919707,0.555,0.8432797942691643,5.669341688534675,0.005772092364792627,0.2797455920227168,1.0,0.0,2.5710353687750187,0.7896732334447327,0.17687514100998158,1.0,1.0,0.8280468088382478,0.7156585247423005,0.8015873015873016,0.0,0.16602316602316602,6.086515750717478,0.07929659996234502,0.7774539090630727,0.005090608479996519,0.9989451476793249,0.2346709470304976,4.190914424430473,0.7499999999999999,0.0,0.962724837351703,5.709082791172342,45.924101920274396
Чернігівська,0.0,0.0,0.1174772233587332,0.7588019881750795,2.190698028834532,0.5588468635356321,0.14848790652192903,0.29568657102093393,0.07858056117476239,0.17475554731724072,0.6154483048536555,0.993415063114024,0.8964731904262855,0.9939602485929592,0.995502247117216,5.21957242998619,0.04928109254639545,0.037274288412327695,0.43277690479361575,1.0,0.5333787465940054,0.012889572999990677,0.022008531339642,0.4490416666666668,0.488892174589345,4.177017820316084,0.0,0.9965019629350202,0.6537217139105177,0.04,3.380447353691076,0.8208930716251349,0.07703603197486288,1.0,1.0,0.9412897578056608,0.5575478955418983,0.42203742203742206,0.7776570744226127,0.4653179190751445,6.735310191647486,0.14344626618743014,0.13308227225060332,0.0005618808221203609,0.9333333333333332,0.0,2.4208475051869742,1.0,0.6820412143398404,0.8612292766934558,8.477568303444322,42.72464658424953
