region,p1_02_raw,p1_01_raw,p1_03_raw,p1_04_raw,p2_04_raw,p2_05_raw,p2_02_raw,p2_01_raw,p2_03_raw,p2_06_raw,p2_07_raw,p2_08_raw,p2_09_raw,p2_10_raw,p3_01_raw,p3_02_raw,p4_02_raw,p4_03_raw,p4_05_raw,p4_06_raw,p4_07_raw,p4_08_raw,p5_01_raw,p5_02_raw,p5_03_raw,p6_01_raw,p6_02_raw,p6_03_raw,p6_04_raw,p6_09_raw,p6_05_raw,p6_06_raw,p6_07_raw,p6_08_raw,p7_01_raw,p7_02_raw,p7_06_raw,p7_03_raw,p8_03_raw,p8_04_raw
Луганська,0.0,0.8329946954801287,0.22296019079130186,0.8614223645129643,212803078.62,29423374.59,541468806.72,187.8519975209227,0.6505823465963909,0.5691308488322747,70.84,4643.68,76.72,0.0,0.0,0.0,1.0,0.7069306930693069,0.013252192006491038,0.22828221137335644,0.5295000000000001,0.5446098289867918,215.34,0.3331023860651077,0.023193756183480727,0.22563723617073886,32.38055148276025,1.0,1.0,0.7951175224452739,9.869325325045793,0.5034722222222222,0.01873237665906356,0.5,0.002329699002888827,0.026410142959583785,0.006942007537036754,0.22041105598866054,2.0,0.2456341253936444
Львівська,35890.904857558286,23.964963997642215,0.2729114707416068,0.7737374995826295,922056735.19,111092906.44,2467915904.0,622.236010700681,0.6045394010718882,0.411917765235489,230771.48,12983.82,444.96,200.12,68072072.51999998,70457253.83,0.8309859154929577,0.5470177324019344,0.0069184799264480545,0.6319770035765523,0.43123999999999996,0.8408211767499726,778.0,0.21345746316584416,0.0432018839371594,0.8419107202745171,3.7015679924167633,1.0208333333333333,1.0,0.7439436236839079,11.8264841608984,0.39738805970149255,0.009592510704990065,0.15077989601386482,0.0002900472362641916,0.0025883798798610504,0.0006546193300811378,0.18059901654000893,8.0,0.1203388350362414
Миколаївська,0.0,14.946528674027446,0.07215628422338828,0.7573871788543013,189024856.58,79999747.94,1125728174.5,682.1483554429135,0.6740326005629688,0.3246425550278702,1539.8,10476.82,0.0,996.79,36030.0,0.0,0.9615384615384616,0.7548022598870057,0.0027003713236858204,0.1205317218914488,0.4540000000000001,0.9302390220984302,185.29,0.3607412914558729,0.022662944141800152,0.7386337509290302,1.4919242436664752,1.0,1.0,0.9754855913457168,11.121826460097088,0.4041237113402062,0.015269868467469638,0.4957983193277311,0.0,0.010845600900259513,0.002009507842822038,0.1954305799648506,2.0,0.3031125588128845
Одеська,748243.3554805879,9.822796072708908,0.16765102234560528,0.5655514033506129,1102721587.91,211658207.0599999,2491194855.15,647.0359325316302,0.5912078448449161,0.6754432908007432,21290.98,61199.37,34.2,572.19,46140803.54,27935295.01,0.9423076923076924,0.6699288256227758,0.008321150714673403,0.15601166741098105,0.34137931034482755,0.8908046653565578,535.72,0.14025628058378978,0.014185568027619328,0.6937243602100899,1.5485996705107083,1.0,1.0,0.953422475255282,13.059220075600162,0.2750677506775068,0.0063193014888657285,0.34306569343065696,0.0012228336390417431,0.0210016485412327,0.0033865381912052237,0.1323415765069552,12.0,0.22550558685012465
Полтавська,0.0,0.8992881114751679,0.11411647495817938,0.6129721603390099,461821849.96,146944951.55,1935010514.67,859.7863380856163,0.6495453182915525,0.828248100318654,809.83,14493.8,926.04,4027.29,21049211.23,9301782.45,0.9545454545454546,0.5524266027561414,0.002300679002084319,0.4309999956565181,0.4068181818181818,0.3392451757623098,242.6,0.27319115364059754,0.0349073645123139,0.8235792689188545,1.182975198053125,1.0,1.0,0.9285944148460684,10.704690619673057,0.4907563025210084,0.017629360899243104,0.4583333333333333,0.00265072124275675,0.01856635370424793,0.004645455342273644,0.23229873908826384,9.0,0.10165912518853697
Рівненська,0.0,2.2454056425004767,0.15045380433538866,0.8121416035384629,221940943.42,56237144.28,1003377995.94,605.5806310371835,0.7254878877544363,0.4384038258353747,1484.72,3844.71,232.34,2.77,91191951.63,20891166.0,0.9629629629629628,0.7807807807807807,0.013040129841199134,0.2538837397170287,0.4327272727272727,0.2562015732871442,434.0,0.9510392724603776,0.056507816431386235,0.8221784122418924,1.797066351102182,1.0163934426229508,1.0,0.7616563283079325,13.213642422478898,0.2984293193717277,0.00909145680202434,0.1912568306010929,0.0012342821877651775,0.001372142810471333,0.00019986393878013812,0.17770897832817334,3.0,0.3974479264402328
Сумська,0.0,0.5704992514571896,0.08768972072662634,0.766433059827712,236965186.35,146285122.2,1683635179.87,1053.401566199802,1.046366956816354,0.3723094866429403,8151.31,5481.69,5377.8,562.33,5479220.0,2547248.0,0.9714285714285714,0.5003441156228493,0.0012096696150347428,0.1009742673087122,0.2477272727272728,0.4491948959948357,99.59,0.8995112722686426,0.05509885797600072,0.8284404888416578,1.124661246612466,1.0,1.068181818181818,0.9844640082858622,10.488253984586773,0.5513392857142857,0.024049689941209637,0.4860681114551084,0.001491943505072608,0.028072969645055942,0.003961668183521602,0.2307692307692308,0.0,0.24275014403687345
Тернопільська,0.0,1.6249086569741151,0.2495003560097427,0.6090198387084779,196924431.79,51896316.22,1049620195.16,655.4381160039381,0.9352283157929464,0.9640188680001276,7079.21,3586.32,2084.27,0.0,1224640.7,2695527.0,0.9428571428571428,0.7371031746031746,0.0005114508154799111,0.10069425280973636,0.4277272727272727,0.5557992310623122,231.0,0.2431244853186153,0.06863604130796493,0.8117826413551503,2.1303939962476552,1.0655737704918034,1.0163934426229508,0.9983142910657428,10.859226643919387,0.5387096774193548,0.02198689840046868,0.2013888888888889,0.0003631082062454612,0.006318859364873623,0.002037738670920784,0.24479166666666666,3.0,0.27202072538860106
Харківська,0.0,0.2309844938246458,0.18822752979379487,0.8078461664023003,986670655.48,224425789.02,3061571076.44,682.0255739855418,0.6208878266265591,0.4733810225356983,232802.0,14122.8,976.59,50.45,59939862.35000002,18656843.51,1.0,0.5029904306220095,0.010370860565705615,0.40539690736568057,0.3563333333333333,0.7970892052193437,29748.138,0.016316689736794315,0.019550151042495613,0.7959276252248823,3.5293225480283112,1.0,1.0,0.9810216465120284,10.168172790698069,0.3288409703504043,0.007507737807300086,0.4184514003294893,0.0011145989718393157,0.020911529781060086,0.003531387065572474,0.3045673628643562,7.0,0.10302166904101373
Херсонська,0.0,16.149442825876026,0.1824231784559182,0.7615067173222585,264617593.53,59758269.44000001,869329957.45,539.969588729739,0.6930927063532882,0.7081101449114523,1686.79,11792.04,1260.91,1.65,24754526.5,8309816.0,0.8,0.5272727272727272,0.006986919133917824,0.237499985458505,0.4785555555555557,0.6899848313470435,1026.667,0.2620137639455644,0.0,0.7746423990360322,1.2009949509949511,1.0,1.0,0.8817714075707459,12.244062144306914,0.29280397022332505,0.00547937953306157,0.4230769230769231,0.0007685804319422028,0.008697522161955509,0.002827491179023998,0.2715014577259475,1.0,0.3484
Хмельницька,0.0,0.0,0.2264053563964955,0.8490597383710187,149620804.27,87791902.90000002,1182723245.43,643.5418861125131,0.6781798291326671,0.7228534821720608,4813.91,4628.01,13902.92,47.79,47042686.1,1423190.74,0.6944444444444444,0.271830985915493,0.0027204030226700283,0.16532835295131668,0.47200000000000003,0.6655202827410829,126.0,0.9858878364621928,0.0236100065875514,0.8344905774101811,1.888980263157895,1.0,1.0,0.9813567098939844,10.230373353057491,0.5075125208681135,0.014145460659536672,0.37789203084832906,0.0015686515748031494,0.01657557413852596,0.004864894799844937,0.1866002214839424,5.0,0.2060922541340296
Черкаська,0.0,0.5195094369355978,0.07232408452919831,0.7717425255683535,248889065.88,96271105.46,1164931062.47,609.25097711162,0.6493792332707805,0.7415382704122407,11607.46,23736.11,229.82,0.0,25098052.99,7550000.0,1.0,0.8525402726146221,0.007906467594316725,0.4712811991816337,0.1948777777777778,0.6325652084022151,114.2,0.6418570307384377,0.01893181607655507,0.8024395706342263,1.0076482883334246,1.0,1.0,0.8768581335745514,10.555368786695682,0.4623853211009175,0.015353470054353837,0.44110275689223055,0.002676659528907923,0.02331501409730564,0.002763445344154753,0.24644332262505736,3.0,0.15636363636363634
Чернівецька,867467.2024604891,7.690813558317957,0.2400443089280632,0.7276465799137535,162574926.76,28855748.39,489036160.8999999,352.75913259788973,0.5539636554771445,0.3404356147975064,169.88,9157.89,1315.4,13.25,2429651.5,0.0,0.9,0.8790931989924433,0.0,0.12423201985919707,0.555,0.8432797942691643,223.9,0.2797455920227168,0.10042344325058664,0.7896732334447327,5.653705740048382,1.0,1.0,0.8280468088382478,14.313170494846007,0.1984126984126984,0.0037858811120319454,0.16602316602316602,0.0019227247756821095,0.02182543998955773,0.005090608479996519,0.22468354430379747,7.0,0.4592872315317442
Чернігівська,0.0,0.0,0.1174772233587332,0.7588019881750795,249492686.2,102803138.45,1058406951.06,671.5616592117334,0.6995606992095231,0.5933037781576185,1603.36,15971.93,717.57,38.35,4528293.41,2626244.0,0.9230769230769232,0.5336963921034718,0.0002613567089192999,0.022008531339642,0.4490416666666668,0.488892174589345,52.494,0.9965019629350202,0.06564898543856912,0.8208930716251349,12.980938586326767,1.0,1.0,0.9412897578056608,11.150957910837963,0.577962577962578,0.019544175402789372,0.4653179190751445,0.003478178006479893,0.0037360145891862586,0.0005618808221203609,0.26161616161616164,1.0,0.14603441040704992
