region,p1_02_raw,p1_01_raw,p1_03_raw,p1_04_raw
Волинська,0.0,25.127939271303827,0.22997008571615002,0.8987824544166384
Вінницька,0.0,0.768086928824016,0.28608535069255164,0.46547178001320183
Дніпропетровська,0.0,6.284008654093083,0.1871030200686462,0.6076819221847153
Донецька,0.0,0.6585063084666383,0.1672776311591075,0.726443446789016
Житомирська,0.0,1.2286069791673024,0.21188987967068643,0.8144453919182537
Закарпатська,232957.09236934563,21.10207271062924,0.12967150083527182,0.8560261216340233
Запорізька,0.0,9.825489423853806,0.1246423308353613,0.637656821023735
Київська,0.0,1.3278171595426564,0.2429826119456985,0.5461315614452265
Івано-Франківська,878324.764650815,12.240273414725612,0.16009754807157647,0.8003660760361336
Кіровоградська,0.0,0.0,0.1796135573601386,0.8806169042775284
Луганська,0.0,0.8329946954801287,0.22296019079130186,0.8614223645129643
Львівська,35890.904857558286,23.96496399764222,0.27291147074160677,0.7737374995826295
Миколаївська,0.0,14.946528674027446,0.07215628422338828,0.7573871788543013
Одеська,748243.3554805879,9.822796072708908,0.16765102234560528,0.5655514033506129
Полтавська,0.0,0.8992881114751679,0.11411647495817938,0.6129721603390099
Рівненська,0.0,2.2454056425004767,0.15045380433538866,0.8121416035384629
Сумська,0.0,0.5704992514571896,0.08768972072662634,0.766433059827712
Тернопільська,0.0,1.624908656974115,0.24950035600974269,0.6090198387084779
Харківська,0.0,0.2309844938246458,0.18822752979379487,0.8078461664023003
Херсонська,0.0,16.149442825876026,0.1824231784559182,0.7615067173222585
Хмельницька,0.0,0.0,0.22640535639649548,0.8490597383710187
Черкаська,0.0,0.5195094369355978,0.07232408452919831,0.7717425255683535
Чернівецька,867467.202460489,7.690813558317958,0.24004430892806317,0.7276465799137535
Чернігівська,0.0,0.0,0.1174772233587332,0.7588019881750795
