region,p3_01_raw,p3_02_raw
Волинська,1069804.0,74643.04000000001
Вінницька,26709320.55,5314266.28
Дніпропетровська,52890672.28,22104709.46
Донецька,1004971.75,271194.29
Житомирська,5868511.010000001,4634873.25
Закарпатська,12450045.6,1833509.27
Запорізька,2089834.94,285816.0
Київська,7107644.5,5127963.0
Івано-Франківська,25842487.08,15794675.91
Кіровоградська,3317952.37,577303.0
Луганська,,
Львівська,68072072.51999998,70457253.83
Миколаївська,36030.0,0.0
Одеська,46140803.54,27935295.01
Полтавська,21049211.23,9301782.45
Рівненська,91191951.63,20891166.0
Сумська,5479220.0,2547248.0
Тернопільська,1224640.7,2695527.0
Харківська,59939862.35000002,18656843.509999998
Херсонська,24754526.5,8309816.0
Хмельницька,47042686.1,1423190.74
Черкаська,25098052.99,7550000.0
Чернівецька,2429651.5,0.0
Чернігівська,4528293.41,2626244.0
