region,p6_01_raw,p6_02_raw,p6_03_raw,p6_04_raw,p6_09_raw,p6_05_raw,p6_06_raw,p6_07_raw,p6_08_raw
Волинська,0.8381031643061911,1.6123761252742266,1.0,1.0217391304347827,0.8014502334421353,11.51781366529271,0.3958691910499139,0.009846316683727116,0.187683284457478
Вінницька,0.8553446596211397,1.5086206896551724,1.0,1.0,0.8713018927946556,10.312531027826651,0.5390524967989757,0.014257649720204787,0.4189473684210526
Дніпропетровська,0.7864986549019447,1.3157345264727816,1.0218978102189782,1.0218978102189782,0.9128712583972954,11.715576496867422,0.21181716833890746,0.0046795577832619666,0.31932773109243695
Донецька,0.33135466908554556,1.132193401491138,1.0,1.0,0.9678101918065869,10.01618939350821,0.24660194174757283,0.00499644816408885,0.42892156862745096
Житомирська,0.821835785298439,3.5929061784897023,1.0,1.0,0.9557666544878821,10.604013816631047,0.5055467511885895,0.016895891177546758,0.36666666666666664
Закарпатська,0.797766940718373,4.085843373493976,1.0,1.0,0.7715416119925246,14.053485014323195,0.19771863117870722,0.005010241435114686,0.1414141414141414
Запорізька,0.7852212100573245,1.6728837876614058,1.0169491525423728,1.0169491525423728,0.8496879853939014,11.360763047225946,0.30639097744360905,0.006273525721455458,0.37850467289719625
Київська,0.8561800873856514,3.2280887011615627,1.0,1.0,0.9606294501286424,11.5877204678721,0.3748148148148148,0.0044518195362613635,0.38526315789473686
Івано-Франківська,0.8156571590024895,7.533163265306122,1.0,1.0,0.7275262133666386,13.245128541465384,0.31596091205211724,0.010610179731158435,0.16568047337278108
Кіровоградська,0.7516099237322489,3.5315985130111525,1.0,1.0,0.929813089204948,9.276814572253409,0.4787234042553192,0.008550546049722977,0.3661417322834646
Луганська,0.22563723617073883,32.38055148276025,1.0,1.0,0.7951175224452739,9.869325325045793,0.5034722222222222,0.01873237665906356,0.5
Львівська,0.841910720274517,3.701567992416763,1.0208333333333333,1.0,0.7439436236839079,11.826484160898401,0.39738805970149255,0.009592510704990065,0.15077989601386482
Миколаївська,0.7386337509290302,1.4919242436664752,1.0,1.0,0.9754855913457168,11.121826460097088,0.4041237113402062,0.015269868467469637,0.4957983193277311
Одеська,0.6937243602100899,1.5485996705107083,1.0,1.0,0.9534224752552819,13.059220075600162,0.2750677506775068,0.006319301488865729,0.34306569343065696
Полтавська,0.8235792689188545,1.182975198053125,1.0,1.0,0.9285944148460685,10.704690619673055,0.4907563025210084,0.017629360899243104,0.4583333333333333
Рівненська,0.8221784122418924,1.797066351102182,1.0163934426229508,1.0,0.7616563283079325,13.213642422478898,0.29842931937172773,0.00909145680202434,0.1912568306010929
Сумська,0.8284404888416578,1.1246612466124661,1.0,1.0681818181818181,0.9844640082858622,10.488253984586771,0.5513392857142857,0.024049689941209634,0.48606811145510836
Тернопільська,0.8117826413551503,2.130393996247655,1.0655737704918034,1.0163934426229508,0.9983142910657427,10.859226643919389,0.5387096774193548,0.021986898400468677,0.2013888888888889
Харківська,0.7959276252248823,3.5293225480283112,1.0,1.0,0.9810216465120283,10.168172790698069,0.3288409703504043,0.007507737807300086,0.4184514003294893
Херсонська,0.7746423990360322,1.2009949509949511,1.0,1.0,0.881771407570746,12.244062144306914,0.29280397022332505,0.00547937953306157,0.4230769230769231
Хмельницька,0.8344905774101811,1.888980263157895,1.0,1.0,0.9813567098939844,10.23037335305749,0.5075125208681135,0.014145460659536672,0.37789203084832906
Черкаська,0.8024395706342263,1.0076482883334246,1.0,1.0,0.8768581335745514,10.555368786695682,0.46238532110091746,0.015353470054353837,0.44110275689223055
Чернівецька,0.7896732334447327,5.653705740048383,1.0,1.0,0.8280468088382478,14.313170494846009,0.1984126984126984,0.0037858811120319445,0.16602316602316602
Чернігівська,0.8208930716251349,12.980938586326765,1.0,1.0,0.9412897578056609,11.150957910837965,0.577962577962578,0.019544175402789375,0.4653179190751445
